RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Josh Smith,DET,77,35.5,.463,13.9,11.0,23.9,3.9,17.6,10.4,14.10,146.8,4.9
Dion Waiters,CLE,70,29.6,.508,14.4,10.5,25.7,1.7,9.0,5.3,14.10,111.3,3.7
Mario Chalmers,MIA,73,29.8,.567,31.0,14.1,17.3,2.5,9.6,6.2,14.06,99.6,3.3
Elton Brand,ATL,73,19.4,.561,14.6,11.8,12.9,8.0,21.5,14.8,14.05,53.8,1.8
Omer Asik,HOU,48,20.2,.570,7.6,17.9,12.6,12.3,30.1,21.7,14.05,49.8,1.7
Marvin Williams,UTAH,66,25.4,.540,11.3,7.7,15.7,5.5,17.9,11.5,14.04,63.4,2.1
Rodney Stuckey,DET,73,26.7,.516,12.1,9.9,23.5,2.1,7.7,4.7,14.04,102.9,3.4
Zaza Pachulia,MIL,53,25.0,.502,21.4,14.5,16.8,11.8,17.1,14.4,14.03,67.9,2.3
Larry Sanders,MIL,23,25.4,.478,8.2,11.2,15.3,11.4,21.3,16.2,14.02,29.8,1.0
J.R. Smith,NY,74,32.7,.527,16.3,8.0,20.6,1.7,13.1,7.2,14.00,126.4,4.2
Anthony Morrow,NO,76,18.8,.570,8.8,7.6,18.0,2.3,9.2,5.7,13.96,73.6,2.5
DeMarre Carroll,ATL,73,32.1,.575,14.6,8.6,14.1,5.3,14.5,10.0,13.96,120.8,4.0
Andre Miller,DEN/WSH,58,16.9,.534,37.7,11.7,15.5,3.1,11.7,7.4,13.90,42.5,1.4
Danny Green,SA,68,24.3,.580,14.6,10.7,15.5,1.8,13.4,7.8,13.90,83.7,2.8
Jameer Nelson,ORL,68,32.0,.515,33.1,11.5,20.7,1.5,10.5,6.0,13.89,94.1,3.1
Ersan Ilyasova,MIL,55,26.9,.486,9.4,7.9,19.9,8.0,18.8,13.3,13.85,51.9,1.7
